GS,G,Assist_Pct,Usage_Pct,DRtg,Rising_Star
0,22,3.8,17.6,106,0
1,50,23.9,22.7,109,0
82,82,25.6,25.7,112,0
39,68.33333333,10.5,20.1,111,0
0,32,10.6,16.4,106,0
1,11.66666667,22.6,15.5,112,0
13,54,19.5,21.9,111,0
0,1,4,13.7,114,0
2.333333333,52.33333333,7.1,17.1,111,0
1,26,17.5,21.7,109,0
0,11,5,12.1,114,0
0,31,11.3,18.3,108,0
2,27,6.2,12.5,118,0
1,6,13.4,18.5,115,0
8,34,8.9,23.1,112,0
78.16666667,78.16666667,23.6,22.2,105,1
46,75,7.1,19,112,0
35.33333333,74.33333333,7.8,17.3,108,0
12,17,9.5,18.6,110,0
0,20.66666667,16.3,22.6,106,0
0,15,6.4,24.4,118,0
4,67,16.9,23.9,113,0
0,20,7.9,15.5,116,0
0,14,14.3,18.2,115,0
4,40,19.7,19,110,0
0,5,10.1,15.7,115,0
31,63,8.5,20.4,107,0
0.666666667,17.33333333,7.7,16.9,115,0
0,8,4.3,19.8,107,0
8.333333333,60.66666667,25.7,26.3,109,0
1,20,4.8,21.1,107,0
2,42,4,16,115,0
0,13.5,5,16.8,111,0
5.666666667,49,8.7,16.5,110,0
24,28,21,23,114,0
2,44,14.8,21.5,118,0
22.33333333,43.33333333,10.6,20.4,112,0
80,80,13.2,30.9,109,1
0,15,7.2,13.5,109,0
0,13,12.6,15.8,112,0
0,4,6.6,15,113,0
66.4,76.4,14.3,24.1,104,1
0,6,3.6,12.7,109,0
62,62,23.7,17.7,98,1
0,3,15.3,19.3,110,0
50.33333333,59,7.4,10.1,106,0
60,60,7.4,23.8,100,1
0,16.33333333,13.3,24.8,116,0
21.33333333,48.33333333,21.3,19.6,119,0
12,63.66666667,7.3,22.1,109,0
0,15,4.3,17.3,113,0
81.66666667,81.66666667,10.6,29,115,0
0,5,18.7,27.5,113,0
2.5,42.5,13.7,24.3,118,0
9,37.66666667,7.7,18.8,117,0
1,42.66666667,8.7,20.3,111,0
3.666666667,13.66666667,41.7,15.6,120,0
65,65.6,19,32.6,105,1
42,63.5,7.6,18,114,0
5.5,36.5,9.8,25.8,107,0
16.5,55.5,8.9,16.6,112,0
0,1,0,12,114,0
1.5,38,10.1,24.5,116,0
0,11.5,2.2,15.3,108,0
0,24,5.7,15.6,116,0
5,50,17.2,23.4,111,0
0.333333333,6.333333333,13.5,12.7,113,0
0,23.5,28.1,25.1,111,0
1,29.5,2.9,14.1,109,0
7,46.33333333,9.9,19.2,105,0
75,82,9.3,14,111,0
8,60.66666667,9.2,21.9,110,0
11.66666667,68.66666667,18.7,21.3,114,0
26,48.33333333,11.9,26.1,105,0
0,12.5,7,12,113,0
0,7.5,6.1,20.6,115,0
44.25,70.25,23.6,20.8,106,1
0,3,0,18.9,111,0
0,28,16.1,17.1,102,0
63.33333333,77.33333333,8.4,17.6,112,0
0,2,13.1,0,113,0
69.4,69.4,37.4,22.3,108,1
4,30,26.8,20.5,111,0
4.333333333,30.66666667,3.4,13.9,106,0
0,4,18,20.9,118,0
38.33333333,73.33333333,3.1,13.1,109,0
0,4,5.2,28.4,113,0
75.33333333,75.33333333,27.1,30.2,110,0
1.666666667,42.66666667,11.2,29.4,104,0
0,35,27.5,25.4,116,0
7,66.33333333,13.2,26,110,0
30,67,19.3,22.3,113,0
40.33333333,79.33333333,8.7,22.4,115,0
2,8,4,19.6,103,0
0.5,49.5,22.5,17.1,110,0
68.4,71.2,24.1,28.4,114,1
2,37,5.1,17.2,108,0
0,6,0,8.5,110,0
3,50,10.1,19,109,0
3,39,12.4,18.9,110,0
0.5,25,32.1,23.1,117,0
51.75,61.5,19.8,28.2,115,1
69.66666667,70.33333333,29.6,26.1,107,0
68,71,26.6,26.8,114,0
2,64,9,13.6,105,0
65,65,23.1,26.7,109,1
42.5,74.5,6.9,15.9,108,0
2,14,6.8,15.2,115,0
1,5,0,15.2,109,0
19,74,28.2,21.6,114,0
1.333333333,15,18.6,16.3,107,0
0,10.5,18.6,39.8,99,0
79.33333333,79.33333333,11.8,28.6,110,1
49.5,66,20.4,16,112,0
0.333333333,7.666666667,15.1,31.5,113,0
13,56,9.9,15.3,114,0
0,11.5,17,25.6,109,0
11,14,7.7,14.1,110,0
31,66,11.7,17.9,114,0
49.66666667,81.33333333,12.8,25.1,114,0
8.333333333,30.33333333,7.5,22.5,110,0
15,65,14.3,16,112,0
0,22,15.5,21.8,114,0
8.5,26.5,12.9,13.7,115,0
27.66666667,60,21.6,27.1,110,0
1,18,11.1,15,113,0
1.333333333,25,14,20,112,0
34,58,8,18.9,115,0
1.5,18,8.7,20.3,108,0
1,49,7.4,16,113,0
5,37.66666667,29.9,20.9,111,0
0,19,6.8,14.1,116,0
20.33333333,56,26,24,111,0
29,80,4.6,22.5,110,0
0,15,29.4,17.2,104,0
66.375,66.375,21.9,35.6,113,1
0,7,18.2,23.2,112,0
0,35,9.5,18.1,109,0
1.5,35,6.2,18.8,113,0
0,9,13.7,18.1,109,0
50.66666667,67.33333333,12.1,18.6,118,0
0,12,27.1,22.4,107,0
12,36,7.4,19.1,114,0
69,71,17.3,19.3,108,0
0,13,3.2,18.1,113,0
14.5,55,29.9,19,112,0
0,10,7.3,25.1,114,0
11.66666667,70,11.5,19.9,110,0
0.666666667,26,17.5,19.7,117,0
73,73,26.1,24.3,110,1
0.333333333,44.33333333,5.1,20.5,108,0
0,22.5,13.9,25.9,112,0
0.5,3,7.8,16.1,111,0
0,14,3.3,11.1,108,0
64.85714286,64.85714286,12.1,28.7,111,1
0,28,4.7,43.9,101,0
0,14,26.7,16.2,112,0
0,29,13.5,24,113,0
8.333333333,49,12.6,25.3,109,0
25,55.5,9.8,19.6,112,0
9,60,6.7,15.2,112,0
0.5,24.66666667,6,17.1,109,0
76,76,8.6,27.1,109,1
1.333333333,19.66666667,7.1,24.6,112,0
67,67,52.7,27.1,109,1
0,18,4.4,9.6,103,0
0,41,10.2,17.5,106,0
20.66666667,49.33333333,6.3,17.2,105,0
0,2,0,0,119,0
0.333333333,11.66666667,6.9,34.2,116,0
9,25.5,7.5,17.5,111,0
0.666666667,17,4.8,26.1,107,0
4.5,28,9.1,19.6,110,0
0,8,0,13.3,107,0
31.33333333,51.33333333,6.7,21.3,106,0
1,7,17.9,17,113,0
1,65,16.5,24.4,112,0
3,48,15.7,13.6,112,0
36,72.33333333,10.9,18.9,102,0
0,29.66666667,4,14.9,105,0
68.5,73.5,15.3,27.2,121,0
82,82,12.5,21.5,111,0
0,22,29.8,28.3,114,0
0.5,29,4.8,21,110,0
9.666666667,41.66666667,20.2,16.9,106,0
0,3,0,35.5,108,0
0,10,16.1,23.4,108,0
33.5,76,9,17.9,111,0
0.5,8.5,13.5,22.3,108,0
6.666666667,50.66666667,12.1,13.7,113,0
56,68,41.3,31.9,113,1
42,81,31.1,21.2,112,0
0,2,8.2,12.1,110,0
0,2,0,22.4,111,0
0,29.5,7.4,21.3,107,0
1,33.66666667,10.3,17.7,111,0
2.333333333,27,8.1,21.3,116,0
0,6,7.8,16.1,114,0
3,45,9.8,19.6,107,0
0,12,7.2,12,120,0
6,31,7.2,13.5,106,0
7.333333333,16.33333333,8.7,13.9,111,0
77.625,77.625,34.1,30.6,116,1
1,20,9,14.9,107,0
5.333333333,11.33333333,8.1,19.1,108,0
15.66666667,32,14.4,19.3,114,0
0.666666667,48.66666667,9.2,13.8,116,0
14,55,10.4,17.3,116,0
7,43,5.2,13.3,109,0
1.5,12.5,44.2,19.9,114,0
0,19,5.8,18,108,0
2,17,8.5,16.4,107,0
20.66666667,62.33333333,10.5,15.8,107,0
67,71.5,7.6,19.3,112,0
12.66666667,31.33333333,8.3,20,107,0
8.333333333,68.33333333,5.2,16.8,107,0
22.33333333,54,29.7,23.1,109,0
5.333333333,21,9.4,16.2,114,0
0,5,20.9,16.9,112,0
50,80,14.3,24.6,114,0
8,53,4.3,14.1,108,0
59,59,18.5,20.7,119,0
0,3.5,21.7,29.7,107,0
3.333333333,34,9.3,12.8,113,0
5.666666667,31.33333333,21.5,18.6,111,0
1,43.5,4.6,18,111,0
5,56,5.4,21.6,108,0
57.33333333,71.66666667,32.9,23.1,112,0
1,30.33333333,15.3,19.3,110,0
0,5,4.7,14.4,99,0
0,6,11.2,17.2,118,0
0,51.5,8.1,20.2,108,0
80,80,17.5,23.8,108,1
12.33333333,47,9.4,15.6,116,0
0,3,39.1,28.8,113,0
0,2,18.8,12.6,117,0
0.5,15.5,8.5,16,112,0
61.33333333,66.33333333,35.4,29.6,113,0
62,63,8,17.5,117,0
19.5,51,22.3,19.6,112,0
